model_id,maximum_seating
226596204,5
226596757,5
226596758,5
226607795,5
226631701,2
226680047,5
226718197,5
226766465,5
226782402,8
226783942,5
226887306,5
226902507,5
226910901,7
226910925,5
226911058,5
226925556,5
227025452,5
227047547,5
227122230,5
227129147,5
227133894,8
227173064,5
227216519,5
227269800,7
227269845,5
227299611,5
227390124,7
227428435,5
227429648,7
227453183,5
227511251,5
227593351,5
227598614,5
227636843,7
227661832,5
227710531,5
227711717,5
227711720,5
227777839,5
227809053,5
227976906,5
227976942,5
227976948,5
227976996,5
227977008,5
227977016,5
227977043,5
228021188,5
228039843,8
228072593,5
228077717,5
228098925,7
228107655,5
228208241,8
228292732,5
228324994,5
228388664,5
228389991,7
228420338,7
228430603,5
228527568,5
228527617,7
228527637,7
228527657,5
228527668,7
228527698,7
228527706,7
228527726,7
228527728,5
228529570,
228529583,5
228529653,5
228529671,5
228529677,5
228529685,5
228529714,7
228530616,5
228554590,5
228558186,5
228570938,5
228604410,7
228604437,7
228617326,5
228620204,5
228627582,5
228696471,5
228739239,5
228760826,5
228786763,5
228786766,5
228810077,5
228818684,5
228818694,5
228849239,3
228849281,3
228859439,5
228859442,5
228859444,5
228864573,5
228864578,5
228903914,7
228911557,5
228914316,5
228914420,5
228956711,5
228958290,2
228968504,5
228970875,5
228979975,7
228987485,5
229035260,2
229035347,2
229044895,2
229071395,5
229081490,
229081501,5
229105650,5
229180839,8
229205716,
229205723,
229205727,
229233331,5
229241689,
229241758,
229247526,5
229250594,2
229251983,5
229256097,12
229265154,7
229266069,5
229317580,8
229386745,2
229410038,7
229424973,8
229455792,8
229462049,8
229501884,5
229507974,
229509379,5
229586038,5
229594860,5
229621711,8
229637246,5
229673093,7
229689817,5
229804692,5
229816302,5
229830030,5
229836869,2
229867081,5
229874875,5
229877218,3
229880494,5
229982669,5
229995569,
230050508,
230050512,12
230080220,
230112083,
230182207,7
230201555,5
230223730,5
230260115,
230278112,5
230327841,7
230327845,7
230355243,3
230371610,5
230422928,5
230474669,5
230500448,7
230501486,5
230508962,7
230573359,12
230605289,7
230605293,7
230605962,5
230617106,8
230621382,5
230640420,7
230643133,6
230692957,5
230743848,7
230758191,5
230764962,5
230777507,5
230799304,
230810201,5
230893100,8
230973031,2
230973679,7
230995270,5
231027751,2
231055767,5
231055785,5
231055805,5
231056034,5
231070054,8
231084083,5
231091969,2
231136236,5
231136238,5
231156358,5
231256662,7
231275831,5
231278572,5
231280354,5
231307725,5
231356391,5
231367647,5
231383339,5
231398131,5
231401985,5
231429182,5
231439805,5
231464768,5
231464771,5
231477110,5
231491958,8
231505302,5
231524343,5
231538322,5
231541640,5
231554406,5
231568262,5
231576707,5
231576713,5
231579228,5
231579229,5
231633827,5
231674495,5
231678542,5
231686738,5
231724715,
231726400,5
231726402,5
231750483,5
231761747,5
231784816,5
231797818,7
231811308,5
231864216,5
231885250,7
231929043,7
231998189,5
232100443,
232115698,5
232154439,5
232166660,2
232173077,5
232208266,
232221380,7
232272786,8
232281444,5
232293495,5
232302837,7
232303659,5
232335681,5
232354904,
232373976,7
232410265,5
232417322,2
232497809,5
232502970,5
232502974,5
232508700,7
232525957,5
232541840,5
232544241,7
232654772,5
232659178,2
232671024,5
232693612,5
232707650,7
232764616,2
232808934,7
232912001,5
232944148,4
232981984,5
233016723,2
233039650,8
233047485,7
233057140,5
233086888,7
233107930,8
233118725,7
233184368,5
233214426,4
233361836,5
233401876,2
233519260,5
233519622,5
233527609,5
233542193,8
233575172,5
233577985,7
233588122,8
233631316,8
233656436,5
233685137,5
233689244,7
233768141,8
233801138,5
233816371,5
233889860,5
233909341,5
233925576,7
233930009,8
234021360,5
234095204,7
234100021,4
234108464,5
234120017,5
234188062,15
234221471,8
234240533,5
234268302,5
234276262,5
234286283,
234293944,7
234321232,2
234335226,5
234343828,5
234349065,7
234356549,5
234404153,5
234429954,5
234444386,5
234468565,7
234484196,5
234520455,5
234520456,7
234520465,2
234520500,7
234520506,7
234520508,
234548094,
234548113,
234548114,
234548120,
234572391,5
234595764,7
234598219,5
234653947,
234653948,
234660605,7
234719232,5
234781405,5
234790653,5
234843540,5
234864158,5
234867595,7
234881523,5
234890484,5
234893284,5
234944732,7
234961315,5
234963066,5
234974131,8
234978160,5
234997205,5
235004748,5
235048022,5
235055205,5
235070619,5
235111461,5
235111462,5
235121414,5
235185051,5
235186487,5
235226227,5
235241176,7
235257296,5
235257299,5
235257301,5
235257305,5
235257306,5
235262802,5
235269303,5
235269304,5
235278827,7
235295109,5
235312118,5
235312127,5
235329129,5
235346496,5
235365781,7
235374462,2
235434229,5
235438318,5
235441818,7
235484863,5
235485857,5
235526607,2
235542892,5
235560945,7
235566784,5
235568030,8
235571091,5
235580734,5
235584737,5
235592048,5
235593060,5
235600987,5
235658639,7
235658640,5
235659247,
235659255,
235659256,5
235659262,
235659270,5
235659272,
235659294,
235659301,5
235778672,5
235784741,5
235784746,
235788373,5
235788375,5
235800734,5
235804845,5
235819844,5
235825528,8
235856808,5
235882276,7
235882373,5
235889797,5
235938506,5
235955607,
235972784,
235972785,
235976617,5
236000072,7
236003265,5
236003266,5
236003268,5
236005588,5
236006639,5
236068464,2
236122818,5
236180005,15
236228898,8
236231047,5
236232098,
236247334,8
236283190,
236288727,5
236307801,7
236361813,5
236376640,5
236398705,5
236398734,5
236398892,5
236398909,5
236399040,5
236401159,5
236412912,5
236413055,5
236430276,5
236454679,5
236454689,5
236454707,2
236456963,5
236488900,5
236570973,5
236667735,8
236725467,5
236749437,5
236758442,5
236774431,7
236782958,5
236803169,8
236803188,8
236810239,5
236841556,5
236867705,5
236869260,5
236873367,5
236875557,5
236881013,2
236881442,2
236927578,5
236952419,7
236990062,7
236990960,6
236993440,7
237026356,5
237048688,5
237048691,5
237056887,5
237057821,5
237082374,5
237082386,5
237121008,3
237132758,5
237132764,5
237132766,5
237148810,7
237178408,5
237182523,7
237200751,7
237206281,5
237206343,5
237206716,2
237222807,5
237235457,5
237235459,5
237235463,5
237235464,5
237235710,5
237250005,5
237250629,7
237309718,5
237320030,7
237344347,5
237348685,12
237380826,5
237428086,5
237441158,5
237441166,5
237441169,5
237460016,8
237460019,8
237464099,5
237476690,7
237488234,7
237508983,
237512534,3
237514887,5
237532967,6
237534637,5
237534643,5
237534653,5
237536831,2
237542329,5
237564233,5
237564379,5
237599699,5
237600346,5
237603973,7
237629748,2
237632679,5
237658973,7
237740597,5
237741175,7
237750380,5
237778525,
237782887,2
237788025,5
237790761,5
237795344,5
237815779,5
237828030,5
237850621,
237860300,7
237902215,5
237902267,5
237903666,5
237903726,5
237903790,7
237903793,7
237903802,7
237903824,5
237903862,7
237903885,7
237903900,5
237903911,7
237903919,7
237903923,7
237903937,7
237903947,7
237903971,7
237904003,7
237904020,7
237904060,7
237904136,5
237906699,7
237910038,5
237919043,5
237961815,5
237974868,5
238021895,5
238022210,
238063047,7
238116877,8
238130147,7
238152156,7
238168831,5
238188508,8
238204720,5
238204721,5
238225156,5
238228208,7
238233912,5
238245425,5
238247639,5
238258767,8
238282912,7
238282915,7
238289542,5
238300941,5
238306117,5
238313832,5
238320299,
238329554,
238329555,5
238331739,5
238356153,7
238374073,5
238383579,5
238390702,7
238395254,2
238410701,5
238417769,5
238427071,
238430038,
238442123,8
238458491,2
238470860,5
238470862,5
238475907,5
238497714,5
238513291,
238520029,7
238528105,5
238547289,8
238555478,7
238561807,5
238586906,7
238602463,8
238649856,5
238670708,
238683257,7
238713110,5
238730014,5
238737416,5
238740013,7
238740014,7
238740152,5
238771315,5
